player_id,Jogador,Equipe,duelos_def,duelos_ar,passes_prog,passes_long,eficiencia_def,rating_mean,%Minutos,minutes,minutes_weight,rating_final,rank,perfil_cluster,con,def,perfil_m,m8_pre_shrink,m8_bonus,m8_raw,m8_final,rank_m8
camutanga-vit-ria-301,Camutanga,Vitória,48.67,50.70,24.49,32.49,73.10,45.89,0.32,696,0.48,48.04,47,Posicional,28.49,57.49,Defensivo,55.99,0.00,55.99,52.86,38
gabriel-justino-botafogo-279,Gabriel Justino,Botafogo,66.18,24.51,27.38,24.86,78.45,44.27,0.36,774,0.51,47.07,51,Posicional,26.12,56.38,Defensivo,54.88,0.00,54.88,52.51,39
jonathan-cruzeiro-145,Jonathan,Cruzeiro,60.67,31.77,38.39,49.99,72.25,50.61,0.61,1312,0.73,50.44,35,Posicional,44.19,54.90,Defensivo,53.40,0.00,53.40,52.46,40
bruno-fuchs-palmeiras-336,Bruno Fuchs,Palmeiras,56.14,28.30,40.01,73.86,48.59,49.38,0.28,598,0.44,49.73,37,Construtor,56.94,44.34,Construtor,55.44,0.00,55.44,52.38,41
andr-ramalho-corinthians-318,André Ramalho,Corinthians,32.90,87.89,84.02,26.38,41.55,54.55,0.30,647,0.46,52.07,23,Construtor,55.20,54.11,Construtor,55.04,0.00,55.04,52.30,42
jo-o-marcelo-cruzeiro-365,João Marcelo,Cruzeiro,23.46,57.47,64.20,50.56,13.66,41.87,0.23,488,0.38,46.92,52,Construtor,57.38,31.53,Construtor,55.88,0.00,55.88,52.26,43
alix-red-bull-bragantino-66,Alix,Red Bull Bragantino,28.17,54.93,60.56,59.86,46.90,50.08,0.75,1620,0.83,50.07,36,Híbrido,60.21,43.33,Híbrido,52.62,0.00,52.62,52.17,44
a-saldivia-vasco-da-gama-194,A. Saldivia,Vasco da Gama,50.34,72.02,52.48,48.09,39.86,52.56,0.50,1078,0.64,51.62,30,Híbrido,50.28,54.07,Híbrido,52.37,0.34,52.71,51.73,45
c-cuesta-vasco-da-gama-204,C. Cuesta,Vasco da Gama,42.62,50.13,73.59,33.35,12.82,42.50,0.48,1048,0.62,45.32,56,Construtor,53.47,35.19,Construtor,51.97,0.00,51.97,51.22,46
d-tchamba-remo-109,D. Tchamba,Remo,31.54,35.21,40.85,46.80,91.69,49.22,0.65,1416,0.76,49.41,41,Posicional,43.83,52.81,Defensivo,51.47,0.00,51.47,51.11,47
murilo-palmeiras-24,Murilo,Palmeiras,20.11,58.45,74.65,52.51,29.15,46.97,0.88,1900,0.92,47.22,50,Híbrido,63.58,35.90,Híbrido,51.13,0.00,51.13,51.04,48
i-rom-n-atl-tico-mineiro-363,I. Román,Atlético Mineiro,58.54,59.44,23.06,37.46,36.20,42.94,0.23,489,0.38,47.32,49,Combativo,30.26,51.39,Defensivo,49.89,0.00,49.89,49.96,49
