player_id,Jogador,Equipe,duelos_def,duelos_ar,passes_prog,passes_long,eficiencia_def,rating_mean,%Minutos,minutes,minutes_weight,rating_final,rank,perfil_cluster,con,def,perfil_m,m2_raw,m3_raw,m6_raw,m8_raw,m0_final,m2_final,m3_final,m6_final,m8_final,rank_m0,rank_m2,rank_m3,rank_m6,rank_m8
jo-o-paulo-chapecoense-338,João Paulo,Chapecoense,26.45,83.63,55.22,73.07,23.80,52.44,0.27,589,0.43,51.04,33,Posicional,64.14,44.63,Defensivo,47.55,41.04,59.92,47.55,51.04,48.96,46.18,54.23,48.96,33,50,30,20,50
vitor-hugo-atl-tico-mineiro-328,Vitor Hugo,Atlético Mineiro,47.13,64.31,51.86,27.55,66.62,51.49,0.29,621,0.44,50.66,34,Posicional,39.70,59.35,Defensivo,57.85,42.45,53.84,57.85,50.66,53.51,46.62,51.72,53.51,34,33,28,34,34
jonathan-cruzeiro-145,Jonathan,Cruzeiro,60.67,31.77,38.39,49.99,72.25,50.61,0.61,1312,0.72,50.44,35,Posicional,44.19,54.90,Defensivo,53.40,44.15,47.08,53.40,50.44,52.46,45.76,47.88,52.46,35,40,32,50,40
alix-red-bull-bragantino-66,Alix,Red Bull Bragantino,28.17,54.93,60.56,59.86,46.90,50.08,0.75,1620,0.83,50.07,36,Híbrido,60.21,43.33,Híbrido,52.62,41.80,50.74,52.62,50.07,52.17,43.20,50.61,52.17,36,44,41,43,44
bruno-fuchs-palmeiras-336,Bruno Fuchs,Palmeiras,56.14,28.30,40.01,73.86,48.59,49.38,0.28,598,0.43,49.73,37,Construtor,56.94,44.34,Construtor,55.44,41.38,52.69,55.44,49.73,52.38,46.23,51.18,52.38,37,41,29,37,41
arthur-dias-athletico-paranaense-20,Arthur Dias,Athletico Paranaense,42.60,15.89,56.34,90.85,42.68,49.67,0.90,1961,0.94,49.69,38,Construtor,73.59,33.72,Construtor,70.22,34.76,54.26,70.22,49.69,68.88,35.77,53.97,68.88,38,5,60,22,5
luan-peres-santos-118,Luan Peres,Santos,46.30,60.50,44.77,32.03,64.08,49.54,0.64,1377,0.74,49.66,39,Posicional,38.40,56.96,Defensivo,55.46,43.54,47.04,55.56,49.66,54.09,45.17,47.79,54.16,39,32,33,51,32
jacy-coritiba-70,Jacy,Coritiba,59.86,50.70,27.82,28.82,80.70,49.58,0.74,1613,0.83,49.65,40,Posicional,28.32,63.75,Defensivo,61.73,41.26,46.43,61.73,49.65,59.65,42.81,47.07,59.65,40,18,44,52,18
d-tchamba-remo-109,D. Tchamba,Remo,31.54,35.21,40.85,46.80,91.69,49.22,0.65,1416,0.76,49.41,41,Posicional,43.83,52.81,Defensivo,51.47,43.05,41.21,51.47,49.41,51.11,44.75,43.36,51.11,41,47,35,63,47
j-aguirre-athletico-paranaense-71,J. Aguirre,Athletico Paranaense,45.77,66.20,40.07,38.92,55.07,49.21,0.74,1611,0.82,49.35,42,Posicional,39.50,55.68,Defensivo,54.18,46.12,50.96,54.62,49.35,53.44,46.81,50.79,53.80,42,35,27,40,33
victor-gabriel-internacional-124,Victor Gabriel,Internacional,64.17,49.30,54.23,22.25,52.54,48.50,0.63,1364,0.74,48.89,43,Híbrido,38.24,55.34,Híbrido,47.64,37.44,48.71,47.64,48.89,48.25,40.70,49.04,48.25,43,53,51,49,53
victor-caetano-chapecoense-293,Victor Caetano,Chapecoense,41.86,58.19,35.77,76.99,25.49,47.66,0.33,719,0.49,48.86,44,Combativo,56.38,41.85,Defensivo,44.03,38.63,51.17,44.03,48.86,47.09,44.47,50.57,47.09,44,55,37,44,56
bastos-botafogo-337,Bastos,Botafogo,66.23,20.71,66.72,66.17,13.38,46.64,0.27,592,0.43,48.56,45,Combativo,66.44,33.44,Defensivo,38.39,31.26,55.86,38.39,48.56,45.04,42.00,52.50,45.04,45,60,47,33,60
