player_id,Jogador,Equipe,duelos_def,duelos_ar,passes_prog,passes_long,eficiencia_def,rating_mean,%Minutos,minutes,minutes_weight,rating_final,rank,archetype,m8_raw,m8_final,nota_global,nota_perfil,rank_perfil,rank_global
wagner-leonardo-gr-mio-270,Wagner Leonardo,Grêmio,40.160,27.330,58.360,54.390,13.940,38.840,0.360,785,0.520,44.230,59,Combativo,36.876,43.244,5.614,5.736,15.000,64
lucas-ver-ssimo-santos-136,Lucas Veríssimo,Santos,23.000,49.300,26.950,23.480,60.700,36.690,0.610,1325,0.730,40.330,67,Defensor de Área,42.643,44.665,5.728,5.702,23.000,61
c-ter-n-athletico-paranaense-186,C. Terán,Athletico Paranaense,51.340,19.080,23.490,30.380,30.000,30.860,0.520,1125,0.650,37.500,70,Combativo,38.965,42.786,5.579,5.699,16.000,65
alix-red-bull-bragantino-66,Alix,Red Bull Bragantino,28.170,54.930,60.560,59.860,46.900,50.080,0.750,1620,0.830,50.070,36,Combativo,41.000,42.535,5.560,5.680,17.000,66
victor-gabriel-internacional-124,Victor Gabriel,Internacional,64.170,49.300,54.230,22.250,52.540,48.500,0.630,1364,0.740,48.890,43,Construtor,43.369,45.089,5.764,5.649,25.000,60
lucas-oliveira-mirassol-343,Lucas Oliveira,Mirassol,20.140,30.790,44.360,35.310,43.520,34.830,0.250,551,0.410,43.770,60,Combativo,29.820,41.804,5.506,5.625,18.000,68
vit-o-flamengo-322,Vitão,Flamengo,20.420,49.020,47.460,32.960,14.790,32.930,0.300,641,0.450,42.270,65,Construtor,36.570,43.859,5.662,5.562,26.000,63
tiago-c-ser-coritiba-98,Tiago Cóser,Coritiba,20.200,43.660,36.810,33.520,51.410,37.120,0.670,1451,0.770,40.080,68,Defensor de Área,39.594,41.979,5.519,5.444,24.000,67
gustavo-marques-red-bull-bragantino-49,Gustavo Marques,Red Bull Bragantino,27.270,21.130,48.590,34.080,66.340,39.480,0.780,1700,0.850,41.020,66,Defensor de Área,39.962,41.459,5.482,5.400,25.000,69
cac-vit-ria-84,Cacá,Vitória,33.940,31.690,19.140,35.210,55.630,35.120,0.710,1548,0.800,38.050,69,Defensor de Área,38.419,40.730,5.432,5.341,26.000,70
a-franco-tigres-uanl-168,A. Franco,Tigres UANL,23.370,17.610,41.880,41.590,15.350,27.960,0.560,1209,0.680,34.920,71,Construtor,34.847,39.605,5.359,5.304,27.000,71
